Name,Phone,Address,Description,Website,Social Media
1000LED INC., (877) 340-1700,"1250 Wattley Way, Building A, Suite 100 McKinney, TX 75069
USA",1000LED Inc. remains at the forefront of the lighting revolution. We develop our products to ensure the most unique and reliable lighting systems in the commercial and industrial industry.,https://1000LED.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
A.L.P., (773) 774-9550,"6333 W Gross Point Rd Niles, IL 60714
USA","A.L.P. is an international leader in designing, manufacturing, and distributing lighting components. With manufacturing plants in the U.S., Mexico, and Europe, and distribution centers strategically located throughout the U.S., Europe, Latin America, and South America, A.L.P. remains a primary supplier of feature differentiated products, processes, and lighting innovations. A.L.P.’s brands include LexaLite®, Reflek®, and Steel Craft.",www.alplighting.com,"{'Facebook': 'https://www.facebook.com/ALP-Lighting-Components-Inc-143826459016741/', 'Twitter': 'https://twitter.com/alplighting', 'LinkedIn': 'https://www.linkedin.com/company/a-l-p--lighting-components/'}"
"ABLE POWER PRODUCTS, INC", 703-420-8293,"8618 Phoenix Drive Manassas, VA 20110
USA","ABLE Power Products designs and manufacturers surge protection and over/under voltage cutoff devices for LED lighting applications including smart light poles and smart control nodes. In addition to the actual surge devices ABLE also manufacturer’s the components used in their design (i.e., metal oxide varistors, thermal links, thermally-fused metal oxide varistors) allowing complete control of the quality process and the production process.",www.ablepowerproducts.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ABOVE ALL LIGHTING INC., (866) 222-8866,"1135 Thomas Busch Highway, Pennsauken, NJ 08110
USA","Above All Lighting is an industry leader in R&D, engineering, manufacturing, and customization of LED indoor and outdoor light fixtures. We manufacture aesthetically designed comprehensive architectural lighting solutions, as well as energy efficient lighting systems.",www.abovealllighting.com,"{'Facebook': '', 'Twitter': 'https://twitter.com/Above__All', 'LinkedIn': 'https://www.linkedin.com/in/aboveall/'}"
ACCESS LIGHTING, (714) 247-1270,"144410 Myford Road Irvine, CA 92606
USA","Access Lighting is a contemporary lighting manufacturer that strives to be a new kind of partner, for a new kind of world. We look to translate our insights to action, embracing exponential transformation as technology continuously reshapes our industry and the human experience. At Access Lighting we live to create a world of inspiration by embracing ongoing changes in the industry which in turn drive continuous product innovations that include the latest modern designs, and technologically advanced energy efficient lighting. Access Lighting puts the customers needs at the center of our processes. We have been customer centric to the core for over 25 years, and it is our company values; honest, human, personalized, that are reflected in our actions every day. Access Lighting is a family owned company which defines how we treat our associates, partners vendors and clients. It’s all about our approach to business and people that shows that we care at a meaningful level.",www.accesslighting.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ACE LED LIGHT CO., LTD.", +86 591 8823 5156,"Building No.10, ZhengZhong Industrial Zone, Xintian, Fuhai, Baoan Shenzhen, Guangdong 518103
China","Utilizing the latest technology advancements, ACE push the boundaries of engineering and inspired designs to produce innovative luminaires featuring smart, beauty, energy efficiency, sustainability, durability, and safety, as well as superior performance.",www.aceledlight.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
ACROSENTEC, +1 469 926 3640,"193 WANGGOK RO UIWANG CITY, province* 16066
Korea, Republic of","ACROSENTEC has been serving clients / designers / architect with premium bespoke LED light since 2003. Here are our top features helping them in the area of architectural / museum / commercial / residential / landscape and more.. . Linear LED specialist. Very slim and low profiles. . Built-in constant current and circuit protection. A short increment for precise fitting . Precise binning control and traceability with ANSI, Mac Adam Ellipses 3 steps as well as 2 steps. . New options for human Centric spectrum and Full spectrum(CRI avg 97) that resembles the Sun . Optimization of LED luminare development to your own purpose . Production in a wide range of CCT (1800- 13000K) .Global Locations : Seoul , Hong Kong , Dallas (TX, USA) .Rep in USA SOS , Mesa (AZ, USA) , anthony@soweroftheseeds.com , 480 822 8283 / Lightspek , Dallas (TX, USA), www.lightspek.com",www.acrosentec.com,"{'Facebook': 'https://www.facebook.com/Acrosentec-Bespoke-105908158614646', 'Twitter': '', 'LinkedIn': 'https://www.linkedin.com/company/acrosentec-bespoke'}"
ACTIVE GROW, 2067929799,"12345 Lake City Way NE #2137 Seattle, Washington 98125
United States of America","Active Grow is a horticultural LED lighting manufacturer whose mission is to empower growers to become self-sustainable by helping them grow healthier plants and reduce their carbon footprint. We understand the importance of plants as food, medicine, a way to brighten up a space or as a means to connect with nature. We research and develop commercial and residential LED grow lighting products, grow tents and smart controls and are constantly pushing the envelope in technology, efficiency and design for growers and their plants.",www.activegrowled.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"ADOT LIGHTING CO., LTD", +86 153 9903 8583,"Wise Nest Industrial Park Xian, Shannxi 710000
China",,www.adotled.com,"{'Facebook': '', 'Twitter': '', 'LinkedIn': ''}"
"AFX, INC.", (847) 249-5970,"2345 Ernie Krueger Circle Waukegan, IL 60087
USA",At AFX we are extremely proud of our legacy of providing energy efficient lighting solutions for our customers for over 80 years. Our products offer the performance you need combined with design that compliments any architectural style.,www.afxinc.com,"{'Facebook': 'https://www.facebook.com/AFXinc', 'Twitter': '', 'LinkedIn': ''}"
