Google Scholar Profile URL,Photo URL,Name,Affiliation,Email Verfication,# Citations,Research Field 1,Research Field 2,Research Field 3,Research Field 4,Research Field 5,Credit,,,,,,,,
https://scholar.google.com/citations?hl=en&user=6qE0tdAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=6qE0tdAAAAAJ&citpid=2,Ronald L. Rivest,MIT Institute Professor,Verified email at mit.edu,153440,algorithms,cryptography,voting,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=MwLqCs4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=MwLqCs4AAAAJ&citpid=2,Dan Boneh,"Professor of Computer Science, Stanford University",Verified email at cs.stanford.edu,92576,Cryptography,Computer Security,Computer Science Theory,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=2pW1g5IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=2pW1g5IAAAAJ&citpid=3,Mihir Bellare,"Professor, Department of Computer Science and Engineering, University of California San …",Verified email at eng.ucsd.edu,63380,Cryptography,Security,Theory,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=Rh7_srgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Rh7_srgAAAAJ&citpid=3,Gilles Brassard,"Professor of computer science, Université de Montréal",Verified email at iro.umontreal.ca,60018,quantum information,cryptography,foundations of physics,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=Swa4FrsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=Swa4FrsAAAAJ&citpid=1,Joos Vandewalle,Professor at Electrical Engineering Dept (ESAT-Stadius) KULeuven,Verified email at esat.kuleuven.be,55284,mathematical engineering,signal processing,system theory,circuit theory,cryptography,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=stSUaHAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=stSUaHAAAAAJ&citpid=1,Moni Naor,"Professor of Computer Science, Weizmann Institute of Science",Verified email at weizmann.ac.il,53694,theoretical_computer_science,cryptography,differential_privacy,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=gqB23VMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=gqB23VMAAAAJ&citpid=3,Amit Sahai,"Symantec Chair Professor of Computer Science, UCLA; Director of Center for Encrypted …",Verified email at cs.ucla.edu,51743,Cryptography,Theoretical Computer Science,Computational Complexity,Information Theory,Secure Computation,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=YVy_ry8AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Michael Fischer,"Professor of Computer Science, Yale University",Verified email at yale.edu,27271,Distributed computing,cryptography,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=-UhqXIEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=-UhqXIEAAAAJ&citpid=2,Ivan Damgård,"Professor of Computer Science, Aarhus University",Verified email at cs.au.dk,26753,Cryptography,Computational Number Theory,Quantum information,Algorithms,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=DeBXK0UAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=DeBXK0UAAAAJ&citpid=9,Rongxing Lu,"IEEE Fellow, Mastercard IoT Research Chair, URS, Assoc. Prof. of CS, University of New …",Verified email at unb.ca,26700,Security,Privacy,Cryptography,IoT Security,Big Data Security,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=kFbFJqIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=kFbFJqIAAAAJ&citpid=4,Douglas Stinson,"Professor Emeritus, David R. Cheriton School of Computer Science, University of Waterloo",Verified email at uwaterloo.ca,26690,Cryptography,security,combinatorics,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=FPa_qFgAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Joseph H. Silverman,"Professor of Mathematics, Brown University",Verified email at math.brown.edu,26667,Number theory,arithmetic dynamics,cryptography,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=QFNVqjEAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Siu-Ming Yiu,"Associate Professor of Computer Science, The University of Hong Kong",Verified email at cs.hku.hk,25033,Bioinformatics,Computer Security,Cryptography,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=a8jIPIkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=a8jIPIkAAAAJ&citpid=6,Vinod Vaikuntanathan,"Professor of Computer Science, Massachusetts Institute of Technology",Verified email at csail.mit.edu,23989,Cryptography,Distributed Algorithms,Complexity Theory,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=H4cQsHAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=H4cQsHAAAAAJ&citpid=2,Victor Shoup,"Principal Researcher, DFINITY; Professor, NYU (on leave)",Verified email at dfinity.org,22922,Cryptography,Algorithms,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=D6ptFeMAAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Matt Franklin,"Professor of Computer Science, UC Davis",Verified email at cs.ucdavis.edu,22599,cryptography,,,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=KXkSNy4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=KXkSNy4AAAAJ&citpid=2,Quisquater Jean-Jacques,"UCL Crypto Group, professor em. of cryptography, security",Verified email at uclouvain.be,22252,cryptology,cryptography,graph theory,blockchains,smart cards,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=fkGi-JMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=fkGi-JMAAAAJ&citpid=3,Adam Smith,"Professor of Computer Science, Boston University",Verified email at bu.edu,22183,Data privacy,cryptography,machine learning,algorithms,information theory,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=eNOmOvkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=small_photo&user=eNOmOvkAAAAJ&citpid=10,Willy Susilo,"Distinguished Professor of Computer Science and IEEE Fellow, University of Wollongong",Verified email at uow.edu.au,22022,Cryptography,Cybersecurity,Computer Security,,,A,,,,,,,,
https://scholar.google.com/citations?hl=en&user=91SnzX0AAAAJ,https://scholar.google.com/citations/images/avatar_scholar_56.png,Neal Koblitz,"Professor of Mathematics, University of Washington",Verified email at uw.edu,21331,Cryptography,Number Theory,,,,A,,,,,,,,
